Year,AgeGrp,pop,mort_rate,ao_rate
2023,"[0,15)",362902.94,0.00203871867227088,0.0690921572583567
2023,"[15,65)",960800.494,0.00418383943919994,0.0097211940026334
2023,"[65,100]",101422.7821,0.0562650726182357,0
2024,"[0,15)",361028.933,0.000935041402900522,0.0684054842773502
2024,"[15,65)",972514.278,0.0042989600199988,0.00988654173774506
2024,"[65,100]",105056.3499,0.0564996804633891,0
2025,"[0,15)",359641.618,0.000602224517853245,0.0676776957443229
2025,"[15,65)",983415.034,0.0045509056148922,0.00999977492717485
2025,"[65,100]",108735.5027,0.0544610467874353,0
2026,"[0,15)",358593.702,0.000282933022621762,0.0667948791805607
2026,"[15,65)",993445.392,0.00459101832544409,0.0101380408838818
2026,"[65,100]",112647.5824,0.0552019348086781,0
2027,"[0,15)",358003.533,0.000343650239898619,0.0661787267892689
2027,"[15,65)",1002765.099,0.00458975587063187,0.0102826993183974
2027,"[65,100]",116500.8079,0.0557333628585077,0
2028,"[0,15)",357656.911,0.000950206719198572,0.0661161640463869
2028,"[15,65)",1011543.738,0.00443965577690125,0.0104246999945345
2028,"[65,100]",120318.9581,0.0559626937128539,0
2029,"[0,15)",357127.579,0.00164601121438457,0.0664699043027422
2029,"[15,65)",1020154.695,0.00424268203755117,0.0105718133268014
2029,"[65,100]",124130.6251,0.0559395869827131,0
2030,"[0,15)",356182.705,0.000782477633213546,0.0668457891575617
2030,"[15,65)",1028779.854,0.00475662599823812,0.0106701166020306
2030,"[65,100]",127971.6942,0.0541825842296304,0
2031,"[0,15)",355336.282,0.00107869648954113,0.0672365030261672
2031,"[15,65)",1036718.446,0.00453594900152861,0.0107977918625748
2031,"[65,100]",132015.0581,0.0546755984043308,0
2032,"[0,15)",354107.488,0.00126891696794622,0.0676037892765487
2032,"[15,65)",1044713.243,0.00435067137365654,0.0109551047396841
2032,"[65,100]",135991.3258,0.0550469035871404,0
2033,"[0,15)",352530.823,0.00127906829866049,0.0678235134066561
2033,"[15,65)",1052662.104,0.00424667420154417,0.0111449628094525
2033,"[65,100]",139950.3674,0.0553334638834253,0
2034,"[0,15)",350734.983,0.00126810846239421,0.067938629321159
2034,"[15,65)",1060369.79,0.00418731563448257,0.0113618467006685
2034,"[65,100]",143938.3088,0.0554502409159888,0
2035,"[0,15)",348788.13,0.000603913900395641,0.0681505331044379
2035,"[15,65)",1067710.382,0.00461224699414789,0.0115286169428668
2035,"[65,100]",148004.6539,0.0538743755002963,0
2036,"[0,15)",346924.035,0.000690177029677378,0.0683527591278016
2036,"[15,65)",1074246.711,0.00448939238130003,0.0117322863276609
2036,"[65,100]",152340.2196,0.0544162396625559,0
2037,"[0,15)",344884.552,0.000816951638935675,0.0685805550374434
2037,"[15,65)",1080533.841,0.0043704313745783,0.0119443700051593
2037,"[65,100]",156653.8077,0.054790432649024,0
2038,"[0,15)",342668.935,0.000988297932521957,0.0688399518911745
2038,"[15,65)",1086557.52,0.00424872951042666,0.0121543984160176
2038,"[65,100]",160976.9738,0.0549969457805772,0
2039,"[0,15)",340274.999,0.00116809051845736,0.0691153774715021
2039,"[15,65)",1092323.891,0.00413825060244882,0.0123743095901946
2039,"[65,100]",165330.1849,0.0550495265308325,0
2040,"[0,15)",337719.598,0.000579759069830465,0.0694168154256775
2040,"[15,65)",1097805.062,0.00460050256171982,0.0125429381559911
2040,"[65,100]",169745.5905,0.0530610767176305,0
2041,"[0,15)",335294.809,0.000713649581136246,0.0696747917740653
2041,"[15,65)",1102428.325,0.00446183564813613,0.0127343408017025
2041,"[65,100]",174508.4077,0.0535215341375211,0
2042,"[0,15)",332774.986,0.000923065172933394,0.0698876657754558
2042,"[15,65)",1106832.369,0.00432535958839491,0.0129927253690572
2042,"[65,100]",179207.148,0.0538318583140445,0
2043,"[0,15)",330167.742,0.00117873114327441,0.0700244786481897
2043,"[15,65)",1110921.019,0.00419355374533607,0.0133382137402875
2043,"[65,100]",183940.8632,0.0539921278351378,0
2044,"[0,15)",327495.154,0.00142685470087904,0.0700982341863904
2044,"[15,65)",1114564.434,0.00407819760019363,0.0137391249288689
2044,"[65,100]",188827.2066,0.0539688452924453,0
2045,"[0,15)",324786.592,0.000587511937684923,0.070184993966746
2045,"[15,65)",1117662.712,0.00460132555625601,0.0140647673320607
2045,"[65,100]",193949.5603,0.0520955524950474,0
2046,"[0,15)",322407.158,0.000842019146485558,0.0701924924383968
2046,"[15,65)",1119595.461,0.0044070230470504,0.014421715309187
2046,"[65,100]",199565.3168,0.0524167589225103,0
2047,"[0,15)",320001.627,0.00105388839163621,0.0701658463755248
2047,"[15,65)",1121145.453,0.00423924744758341,0.0147560068639907
2047,"[65,100]",205251.2367,0.0526176108540836,0
2048,"[0,15)",317594.523,0.00122815405100673,0.0700869517198821
2048,"[15,65)",1122302.195,0.00410308384008818,0.0150431836231061
2048,"[65,100]",210995.037,0.0527005689712029,0
2049,"[0,15)",315209.939,0.00138737059303194,0.0699621752726522
2049,"[15,65)",1123073.529,0.00399835085063251,0.0153040353602707
2049,"[65,100]",216758.4765,0.052526455637826,0
2050,"[0,15)",312858.792,0.000522769390479572,0.0698439249870913
2050,"[15,65)",1123448.303,0.00446916158633425,0.0155031423817995
2050,"[65,100]",222560.479,0.0509923242032562,0
2051,"[0,15)",310862.547,0.000733224385503052,0.0696413099902961
2051,"[15,65)",1122861.738,0.00426238408348012,0.0157395415676725
2051,"[65,100]",228628.5819,0.0512814810928939,0
2052,"[0,15)",308876.712,0.000883235897693683,0.0694694911152771
2052,"[15,65)",1122051.216,0.00410398913555475,0.015968018878739
2052,"[65,100]",234577.4986,0.0514267449861877,0
2053,"[0,15)",306902.943,0.000999019419634562,0.0693457051664702
2053,"[15,65)",1120986.903,0.00398841769518872,0.0161740542654672
2053,"[65,100]",240430.8764,0.0514637395382385,0
2054,"[0,15)",304930.579,0.00111621143775156,0.0692536480573829
2054,"[15,65)",1119667.437,0.00390376004120588,0.0163692989492558
2054,"[65,100]",246188.3074,0.0513132026188178,0
2055,"[0,15)",302945.101,0.000442000875927682,0.0691904042376312
2055,"[15,65)",1118085.908,0.00429175787447632,0.0164944883644844
2055,"[65,100]",251883.7679,0.0501503141918023,0
2056,"[0,15)",301189.05,0.000559977197046189,0.0690807882955904
2056,"[15,65)",1115805.993,0.00412110530759624,0.0166474764578541
2056,"[65,100]",257693.9728,0.0504686165481011,0
2057,"[0,15)",299415.331,0.000682647075276154,0.0690154372890144
2057,"[15,65)",1113438.662,0.00397881369777692,0.0168351240528416
2057,"[65,100]",263263.8685,0.0506745717747439,0
2058,"[0,15)",297607.686,0.000821164948004792,0.0690048341023021
2058,"[15,65)",1110927.899,0.00386402574268232,0.017062782397546
2058,"[65,100]",268667.9627,0.0507803117383002,0
2059,"[0,15)",295745.882,0.000976541069809354,0.0690336949476105
2059,"[15,65)",1108216.093,0.00377774878603935,0.01731762615723
2059,"[65,100]",273980.4408,0.0506760178188603,0
2060,"[0,15)",293816.423,0.000393875191925545,0.0691131618602545
2060,"[15,65)",1105254.29,0.00412396680224602,0.0174943568868663
2060,"[65,100]",279287.8751,0.0497519385509479,0
2061,"[0,15)",292040.486,0.000490473091460353,0.0691701595100071
2061,"[15,65)",1101667.127,0.00395853147753949,0.0176982334519636
2061,"[65,100]",284728.4749,0.0500941435696216,0
2062,"[0,15)",290213.683,0.000636141611558671,0.0692367526999063
2062,"[15,65)",1098009.068,0.00381810325814177,0.0179215514456935
2062,"[65,100]",289962.8078,0.0503057999426642,0
2063,"[0,15)",288322.082,0.000823003213468756,0.0692995134517654
2063,"[15,65)",1094232.183,0.00370437468662901,0.018159157908811
2063,"[65,100]",295054.0228,0.0504140833561277,0
2064,"[0,15)",286357.737,0.00102556684193938,0.069359191087615
2064,"[15,65)",1090288.982,0.00362022827448878,0.0184055203081929
2064,"[65,100]",300049.4797,0.0503045431543203,0
2065,"[0,15)",284319.57,0.000381183750383438,0.0694692736064563
2065,"[15,65)",1086136.092,0.00396127247008012,0.0185682513899925
2065,"[65,100]",305022.9637,0.0495797179220707,0
2066,"[0,15)",282449.48,0.000522475736191811,0.0695465928986664
2066,"[15,65)",1081417.437,0.00378059004794835,0.0187503754852068
2066,"[65,100]",310067.6592,0.0499094518271514,0
2067,"[0,15)",280518.5,0.000663649634516089,0.0696181178781435
2067,"[15,65)",1076695.457,0.00362695781301137,0.0189446225182689
2067,"[65,100]",314869.3353,0.0501194985690307,0
2068,"[0,15)",278532.295,0.000796776546145251,0.0696651890941408
2068,"[15,65)",1071921.909,0.00350373284515075,0.0191466839400145
2068,"[65,100]",319485.8311,0.0502379853426933,0
2069,"[0,15)",276505.418,0.000935779131821571,0.0696891299251142
2069,"[15,65)",1067046.436,0.003412809299707,0.0193461880416233
2069,"[65,100]",323959.2566,0.0501044028510096,0
2070,"[0,15)",274448.275,0.000377211334266899,0.0697428978192703
2070,"[15,65)",1062030.951,0.00374869112453955,0.0194672584452767
2070,"[65,100]",328370.7525,0.0493079334159032,0
2071,"[0,15)",272560.787,0.000478029145109543,0.06975390777691
2071,"[15,65)",1056515.712,0.00355251792033927,0.0196376104627207
2071,"[65,100]",332854.3003,0.0496246837884101,0
2072,"[0,15)",270663.925,0.000601831219287905,0.0697611475190128
2072,"[15,65)",1051027.157,0.00339172587145623,0.0197272723753226
2072,"[65,100]",337083.9549,0.0498066895678279,0
2073,"[0,15)",268755.685,0.000748836252524274,0.069760258280676
2073,"[15,65)",1045610.288,0.00326566698815802,0.0196789351024442
2073,"[65,100]",341028.818,0.0499114209755728,0
2074,"[0,15)",266834.23,0.000909429798418307,0.0697485363853056
2074,"[15,65)",1040367.642,0.00317652324676971,0.019549042260582
2074,"[65,100]",344584.0821,0.0497690905960743,0
2075,"[0,15)",264900.193,0.000378614295686815,0.0697569518192084
2075,"[15,65)",1035335.996,0.00351926042760712,0.0193572667012729
2075,"[65,100]",347772.6367,0.0490554836685344,0
2076,"[0,15)",263142.171,0.000481006140213053,0.0697228381535242
2076,"[15,65)",1030129.734,0.00331683465414851,0.0191797667302359
2076,"[65,100]",350753.7568,0.0494402325386583,0
2077,"[0,15)",261391.11,0.000588455361010584,0.0696865283597441
2077,"[15,65)",1025302.335,0.0031554068390959,0.0191256250284459
2077,"[65,100]",353170.0575,0.0497384781834173,0
2078,"[0,15)",259646.388,0.000706822850160341,0.0696421126412897
2078,"[15,65)",1020672.98,0.00304017649218068,0.0192545735853613
2078,"[65,100]",355213.4643,0.0499826529238914,0
2079,"[0,15)",257907.151,0.000847200239127964,0.0695869848137712
2079,"[15,65)",1015999.654,0.00297331991020539,0.0195002841998999
2079,"[65,100]",357111.576,0.0498462416127334,0
2080,"[0,15)",256169.864,0.000360292184876192,0.0695521156227807
2080,"[15,65)",1011113.461,0.00331842382622577,0.0196583585983927
2080,"[65,100]",359123.1881,0.0491966149372687,0
2081,"[0,15)",254598.815,0.000437684676576347,0.069480343025163
2081,"[15,65)",1005698.483,0.00311872698728133,0.019853822330962
2081,"[65,100]",361332.3739,0.04956067043402,0
2082,"[0,15)",253046.944,0.000537018933530354,0.0694152425725402
2082,"[15,65)",1000284.638,0.00296301561316192,0.0200427380751198
2082,"[65,100]",363391.4582,0.0497658733905816,0
2083,"[0,15)",251504.22,0.000667376475830137,0.069357571813308
2083,"[15,65)",994837.651,0.00285013941435556,0.0201955203241499
2083,"[65,100]",365355.4079,0.0498808521947158,0
2084,"[0,15)",249956.455,0.000823227389746734,0.0693043434305387
2084,"[15,65)",989354.683,0.00278236515912868,0.0203275289899244
2084,"[65,100]",367222.4328,0.0495821389809169,0
2085,"[0,15)",248390.953,0.000339650051586213,0.0692781753609198
2085,"[15,65)",983813.869,0.00309635297487354,0.0204024537897625
2085,"[65,100]",369125.8951,0.048914355074191,0
2086,"[0,15)",246962.943,0.000409441994704442,0.0692256651638623
2086,"[15,65)",977903.489,0.00288590544132928,0.0205093613281914
2086,"[65,100]",371142.557,0.0491505068765262,0
2087,"[0,15)",245526.879,0.000478965889514687,0.0691898665807584
2087,"[15,65)",972121.35,0.00273343446268309,0.0206329683017455
2087,"[65,100]",372956.8882,0.0492368570765011,0
2088,"[0,15)",244076.537,0.00055365829776586,0.0691682338970583
2088,"[15,65)",966394.343,0.00264065701386252,0.0207710166614665
2088,"[65,100]",374651.4122,0.0492555007110153,0
2089,"[0,15)",242607.848,0.000660951413245299,0.0691539788935435
2089,"[15,65)",960651.777,0.00260176794530617,0.0209151021015599
2089,"[65,100]",376270.7623,0.0488684249278435,0
2090,"[0,15)",241113.745,0.00029056825441451,0.0691717263982607
2090,"[15,65)",954837.552,0.0028425934802363,0.020986036795503
2090,"[65,100]",377975.1328,0.0483336921258964,0
2091,"[0,15)",239714.262,0.000303177622364424,0.0691708447451491
2091,"[15,65)",948763.335,0.00266500180469136,0.0210801116170873
2091,"[65,100]",379744.4551,0.0485070332235642,0
2092,"[0,15)",238317.489,0.000372091869430519,0.0691798913675194
2092,"[15,65)",942816.08,0.00253097189432747,0.0211710899118309
2092,"[65,100]",381324.2152,0.0485306612125167,0
2093,"[0,15)",236909.112,0.000507701029245338,0.0691987229262841
2093,"[15,65)",936956.173,0.00244202137296769,0.0212465305994627
2093,"[65,100]",382778.7429,0.0484867322030176,0
2094,"[0,15)",235472.071,0.000697454264119508,0.0692233729918654
2094,"[15,65)",931154.846,0.00240528415829131,0.0213082819524949
2094,"[65,100]",384126.1205,0.0479641165146956,0
2095,"[0,15)",233993.352,0.0002738325659782,0.0692820922536295
2095,"[15,65)",925374.015,0.00260590740707153,0.0213032889193458
2095,"[65,100]",385543.1605,0.0475336449393452,0
2096,"[0,15)",232618.159,0.000322038487115709,0.0693206758634867
2096,"[15,65)",919460.615,0.00241616004400581,0.0213206011004615
2096,"[65,100]",386930.3988,0.0476381813296805,0
2097,"[0,15)",231233.406,0.000410226193701432,0.069350671589381
