Index,Year,"pop_[0,15)","pop_[15,65)","pop_[65,100]","mort_rate_[0,15)","mort_rate_[15,65)","mort_rate_[65,100]","ao_rate_[0,15)","ao_rate_[15,65)","ao_rate_[65,100]",B,"sim_[0,15)","sim_[15,65)","sim_[65,99]","sim_[0,99]"
73,1936,309117.827,460022.744,30038.2494091899,0.00304045648150597,0.00353806257962186,0.0370671293386528,0,0,0,24872.152,309117.827,460022.744,30038.2494091899,799178.82040919
74,1936,309117.827,460022.744,30038.2494091899,0.00304045648150597,0.00353806257962186,0.0370671293386528,0.05607738648228,0.00665193331222061,0,0,308177.967699349,458395.154743679,28924.8177332328,795497.94017626
75,1937,314882.171,471005.925,30901.871773218,0.00312269583571689,0.00311647630495682,0.0378963807815087,0,0,0,24923.02,314882.171,471005.925,30901.8717732181,816789.967773218
76,1937,314882.171,471005.925,30901.871773218,0.00312269583571689,0.00311647630495682,0.0378963807815087,0.056224722596903,0.00666159648902949,0,0,313898.889755877,469538.046195244,29730.8026736388,813167.738624759
77,1938,320158.702,482595.747,31731.9858545787,0.00286332035140791,0.00291460360658347,0.0389077422828851,0,0,0,24888.901,320158.702,482595.747,31731.9858545787,834486.434854579
78,1938,320158.702,482595.747,31731.9858545787,0.00286332035140791,0.00291460360658347,0.0389077422828851,0.0563515541224721,0.00669156371215915,0,0,319241.985072883,481189.171695272,30497.3659268246,830928.52269498
79,1939,325179.83,494556.57,32530.6902730369,0.00255690512681861,0.00280071834170903,0.0399574362603825,0,0,0,24841.719,325179.83,494556.57,32530.6902730369,852267.090273037
80,1939,325179.83,494556.57,32530.6902730369,0.00255690512681861,0.00280071834170903,0.0399574362603825,0.0564871026163473,0.00674074494223223,0,0,324348.376025535,493171.456343389,31230.8472899458,848750.67965887
81,1940,330035.881,506787.379,33307.2857,0.00182219558434293,0.00349036713057338,0.0340343985272169,0,0,0,24838.333,330035.881,506787.379,33307.2857,870130.5457
82,1940,330035.881,506787.379,33307.2857,0.00182219558434293,0.00349036713057338,0.0340343985272169,0.056609898189914,0.00676877177018826,0,0,329434.491074967,505018.504990149,32173.6922646264,866626.688329743
83,1941,335068.163,518486.703,34497.035,0.00181809956550827,0.00330959035819922,0.0348507957052064,0,0,0,24883.219,335068.163,518486.703,34497.035,888051.901000001
84,1941,335068.163,518486.703,34497.035,0.00181809956550827,0.00330959035819922,0.0348507957052064,0.0567358760793877,0.00680477208540777,0,0,334458.975718434,516770.724406897,33294.7858807797,884524.486006111
85,1942,339847.574,530519.741,35650.9431,0.00188491480263087,0.00310557685234048,0.035617217570708,0,0,0,24972.501,339847.574,530519.741,35650.9431,906018.2581
86,1942,339847.574,530519.741,35650.9431,0.00188491480263087,0.00310557685234048,0.035617217570708,0.0570924525587695,0.00684561071151193,0,0,339206.990277129,528872.171172641,34381.1557030064,902460.317152777
87,1943,344302.685,542975.424,36777.0476,0.00203478158882342,0.00285006778472063,0.0362781842358529,0,0,0,25101.23,344302.685,542975.424,36777.0476,924055.1566
88,1943,344302.685,542975.424,36777.0476,0.00203478158882342,0.00285006778472063,0.0362781842358529,0.057784224122176,0.00689448207251678,0,0,343602.104235579,541427.907236163,35442.8430915165,920472.854563259
89,1944,348305.135,556006.717,37889.9061,0.00217918557065455,0.00260226636872374,0.0368644516098261,0,0,0,25256.967,348305.135,556006.717,37889.9061,942201.7581
90,1944,348305.135,556006.717,37889.9061,0.00217918557065455,0.00260226636872374,0.0368644516098261,0.0587068311481236,0.00695262391166937,0,0,347546.113475623,554559.839419567,36493.1154900757,938599.068385266
91,1945,351812.243,569664.412,39003.4628,0.00149437757707094,0.00322233053719589,0.0321895907191688,0,0,0,25426.828,351812.243,569664.412,39003.4628,960480.1178
92,1945,351812.243,569664.412,39003.4628,0.00149437757707094,0.00322233053719589,0.0321895907191688,0.0595570021643892,0.0069807805531208,0,0,351286.502672722,567828.764969259,37747.9572958377,956863.224937818
93,1946,355436.705,582956.716,40496.754,0.00163134660046416,0.00300910204741378,0.0327584746923024,0,0,0,25596.728,355436.705,582956.716,40496.754,978890.175
94,1946,355436.705,582956.716,40496.754,0.00163134660046416,0.00300910204741378,0.0327584746923024,0.0604427873413884,0.00701194630315388,0,0,354856.864539618,581202.539752331,39170.1421089706,975229.54640092
95,1947,358612.537,596826.819,41962.349,0.00183951806833538,0.00280014696647679,0.0332662484133167,0,0,0,25783.105,358612.537,596826.819,41962.349,997401.705
96,1947,358612.537,596826.819,41962.349,0.00183951806833538,0.00280014696647679,0.0332662484133167,0.0612054303216217,0.00704931430679403,0,0,357952.862758657,595155.616193266,40566.4190741597,993674.898026082
97,1948,361355.075,611202.313,43412.3655,0.00208327542405795,0.002609733842869,0.0337184123079427,0,0,0,25969.332,361355.075,611202.313,43412.3655,1015969.7535
98,1948,361355.075,611202.313,43412.3655,0.00208327542405795,0.002609733842869,0.0337184123079427,0.0617312193400429,0.00709834256030116,0,0,360602.272852894,609607.237638924,41948.5694608079,1012158.07995263
99,1949,363723.543,625949.542,44861.3313,0.00229817822197065,0.00245222568734593,0.0341223062857068,0,0,0,26132.922,363723.543,625949.542,44861.3313,1034534.4163
100,1949,363723.543,625949.542,44861.3313,0.00229817822197065,0.00245222568734593,0.0341223062857068,0.0621028892260409,0.00715667154025031,0,0,362887.641474659,624414.572454125,43330.5592129969,1030632.77314178
101,1950,141086.266,223426.812,11811.085020373,0.00695355704168899,0.00983096813801054,0.0461393310974012,0,0,0,12172.586,141086.266,223426.812,11811.085020373,376324.163020373
102,1950,141086.266,223426.812,11811.085020373,0.00695355704168899,0.00983096813801054,0.0461393310974012,0.0577358596038248,0.006058310903294,0,0,140105.21460157,221230.310130051,11266.1294579985,372601.654189619
103,1951,144353.397,225804.215,12086.5997807497,0.00807307348195741,0.00990476054725531,0.0485725260809448,0,0,0,13311.507,144353.397,225804.215,12086.5997807497,382244.21178075
104,1951,144353.397,225804.215,12086.5997807497,0.00807307348195741,0.00990476054725531,0.0485725260809448,0.0571769406329245,0.00648431835448906,0,0,143188.021418649,223567.678319864,11499.5230976693,378255.222836182
105,1952,148056.192,228090.663,12390.6462120893,0.0101457879661933,0.00892546530680649,0.0500882928556302,0,0,0,14211.191,148056.192,228090.663,12390.6462120893,388537.501212089
